text,created_at,geo,lang,place,coordinates,user.favourites_count,user.statuses_count,user.description,user.location,user.id,user.created_at,user.verified,user.following,user.url,user.listed_count,user.followers_count,user.default_profile_image,user.utc_offset,user.friends_count,user.default_profile,user.name,user.lang,user.screen_name,user.geo_enabled,user.profile_background_color,user.profile_image_url,user.time_zone,id,favorite_count,retweeted,source,favorited,retweet_count
"""Success is a lousy teacher. It seduces smart people into thinking they can’t lose.” —@BillGates

This is very impo… https://t.co/ztF110ml1q",Mon Jan 11 21:48:54 +0000 2021,,en,,,3,427545,Chief Digital Evangelist @Salesforce | Columnist: @ZDNet | Show: @DisrupTVShow | Book: https://t.co/oSpLljigAi,Boston,259725229,Wed Mar 02 13:31:29 +0000 2011,True,False,https://t.co/hrhaCHhyjx,11017,524105,False,,295,False,Vala Afshar,,ValaAfshar,True,C0DEED,http://pbs.twimg.com/profile_images/1259558245/vala_300dpi_normal.jpg,,1348748746352312323,524,False,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",False,171
"Peruvian court probing judge's ruling alleging Soros, Bill Gates are creators of #COVID19 pandemic 

@georgesoros… https://t.co/eQaHti7LLl",Wed Jan 13 00:37:00 +0000 2021,,en,,,24,144346,"Sputnik is a global wire, radio and digital news service. We exist to tell the stories that aren’t being told.",,34262462,Wed Apr 22 12:55:28 +0000 2009,True,False,https://t.co/CGNEJoSLHS,6572,323519,False,,304,False,Sputnik,,SputnikInt,False,000000,http://pbs.twimg.com/profile_images/1338442439862996992/LABf4E_j_normal.jpg,,1349153437561225216,72,False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",False,70
"You can find a full list here: https://t.co/3upvNVUsu2

Join in, by tagging in the comments: @UnitedHealthGrp,… https://t.co/cRZiruekAP",Mon Jan 11 23:07:29 +0000 2021,,en,,,2441,2594,"Mom, wife, healthcare advocate, Ms. Lauryn Hill Stan, former Legislator, proud Democrat","Canton, NY",731616058495389696,Sat May 14 22:43:55 +0000 2016,True,False,https://t.co/t0p6ZRWcNL,582,260269,False,,6479,False,Tedra Cobb,,TedraCobb,True,000000,http://pbs.twimg.com/profile_images/1276229509172342785/zqi198lA_normal.jpg,,1348768521564680193,265,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,81
"RT @kim89Da: @DrEricDing @sarasidnerCNN FOX/GOP did this by echoing trump.

In the important first months GOP encouraged people not to take…",Wed Jan 13 08:27:38 +0000 2021,,en,,,205346,627261,,,1867750286,Sun Sep 15 13:30:27 +0000 2013,False,False,,24,3245,False,,4980,True,Mary Cotey,,cotey_mary,True,C0DEED,http://pbs.twimg.com/profile_images/823517336347021313/o39RC21y_normal.jpg,,1349271879232712704,0,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,3
"RT @kim89Da: @DrEricDing @sarasidnerCNN FOX/GOP did this by echoing trump.

In the important first months GOP encouraged people not to take…",Wed Jan 13 08:25:54 +0000 2021,,en,,,85206,38474,Badass woman and mother of three badass women 💃🏻  Integrative Quantum Medicine Instructor & Practitioner,Southern California ,776239624398045184,Thu Sep 15 02:02:03 +0000 2016,False,False,,0,908,False,,1114,True,Queen of Everything,,HRHlaw1,False,F5F8FA,http://pbs.twimg.com/profile_images/846942622916755456/t45Ch-Av_normal.jpg,,1349271439598239745,0,False,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",False,3
"@JCCsBarberShop @BillGates ☺️ I came across your page!  You have a inspiring page!, 😇😇
KINDLY Check out my page and… https://t.co/9DTM2YkMDZ",Wed Jan 13 08:24:06 +0000 2021,,en,,,115,107,"✌️Dm me if ur interested in getting any of this Art work at Affordable rate
🔥 Cartoon portrait
🔥Logo Design 
🔥 Illustration 
🔥 Creating of Website
🔥 YouTub","Los Angeles, CA",1349195074849148930,Wed Jan 13 03:22:45 +0000 2021,False,False,,0,3,False,,76,True,John Windson,,WindsonJohn,False,F5F8FA,http://pbs.twimg.com/profile_images/1349195517599879168/5pixMPRZ_normal.jpg,,1349270988094140417,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,0
"RT @SputnikInt: Peruvian court probing judge's ruling alleging Soros, Bill Gates are creators of #COVID19 pandemic 

@georgesoros @BillGate…",Wed Jan 13 08:23:45 +0000 2021,,en,,,2796,1187,"Open book, hidden chapters...","Roodepoort, South Africa",2794850901,Tue Sep 30 14:23:12 +0000 2014,False,False,https://t.co/57rA4Ax03U,0,113,False,,544,False,Mhlabawethu,,mlando_kay,True,000000,http://pbs.twimg.com/profile_images/1228952325802405889/PeiAgPFS_normal.jpg,,1349270900395356161,0,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,70
@Diddy @ladygaga @UNReliefChief @KamalaHarris @WhiteHouse @vonderleyen @CohenOnAfrica @BillGates @HillaryClinton… https://t.co/J47z7eHu0K,Wed Jan 13 08:22:32 +0000 2021,,und,,,574,1028,Brave,Dubai ,1325338112600526848,Sun Nov 08 07:23:41 +0000 2020,False,False,,0,8,False,,172,True,Kibru A,,a_kibru,False,F5F8FA,http://pbs.twimg.com/profile_images/1325338497599803393/yViSQ1K7_normal.jpg,,1349270595658244096,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,0
Korona hakkında korkunç iddialar ortaya atılıyor https://t.co/lXE2FKo6o9 @CovidTurk @koronavirus_ @BillGates,Wed Jan 13 08:22:27 +0000 2021,,tr,,,202,4737,🇹🇷 SİZİN GAZETENİZ - TIKLADIKÇA OKUTAN GAZETE - Van haber ve Şikayet hattı: 0544 409 0328,"Van, Türkiye",540729230,Fri Mar 30 11:08:33 +0000 2012,False,False,https://t.co/D0HAfywHsD,2,565,False,,2415,False,Van Gazetesi وان Vanhaber,,vangazetesii,True,000000,http://pbs.twimg.com/profile_images/1337714589144928259/mer7eG5d_normal.jpg,,1349270572472147969,0,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,0
"RT @S2K7771: @chilternbear #MeToo 

Boycott @CadburyUK 

Boycott bloated plutocrats @GaryLineker @MarcusRashford @BillGates @BillScrotum @a…",Wed Jan 13 08:21:22 +0000 2021,,en,,,2192,3256,Truth Seeker On A Mission.,,1332201367918628864,Fri Nov 27 05:55:51 +0000 2020,False,False,,0,26,False,,45,True,JustJacqs59,,Jacquel74210973,False,F5F8FA,http://pbs.twimg.com/profile_images/1332858060973297668/lXy7fQk1_normal.jpg,,1349270301889032195,0,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,3
